[20-11-2018 17:35:00] Secret_Schultz reached 20 CPS, VL=1
[20-11-2018 17:35:34] TristanThorn reached 18 CPS, VL=1
[20-11-2018 17:36:06] _GoldenBoy_1 reached 19 CPS, VL=1
[20-11-2018 17:36:38] Philipsd2007 reached 18 CPS, VL=1
[20-11-2018 17:37:10] KobberKnubben reached 24 CPS, VL=1
[20-11-2018 17:37:10] SPEEDY_CTRL reached 20 CPS, VL=1
[20-11-2018 17:37:42] _tryhard_v2 reached 44 CPS, VL=1
[20-11-2018 17:37:42] tobias20007 reached 24 CPS, VL=1
[20-11-2018 17:37:46] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:37:47] sorendam1 reached 27 CPS, VL=2
[20-11-2018 17:37:48] sorendam1 reached 27 CPS, VL=3
[20-11-2018 17:37:49] sorendam1 reached 26 CPS, VL=4
[20-11-2018 17:37:50] sorendam1 reached 19 CPS, VL=1
[20-11-2018 17:37:52] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:37:53] sorendam1 reached 25 CPS, VL=3
[20-11-2018 17:37:54] sorendam1 reached 24 CPS, VL=4
[20-11-2018 17:37:55] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:37:56] sorendam1 reached 23 CPS, VL=2
[20-11-2018 17:37:57] sorendam1 reached 24 CPS, VL=3
[20-11-2018 17:37:58] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:38:00] sorendam1 reached 26 CPS, VL=1
[20-11-2018 17:38:01] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:38:04] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:38:05] sorendam1 reached 28 CPS, VL=2
[20-11-2018 17:38:06] sorendam1 reached 21 CPS, VL=3
[20-11-2018 17:38:07] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:38:16] _tryhard_v2 reached 25 CPS, VL=1
[20-11-2018 17:38:16] tobias20007 reached 25 CPS, VL=1
[20-11-2018 17:38:16] _GoldenBoy_1 reached 18 CPS, VL=1
[20-11-2018 17:38:16] Cr4zyD3rp reached 20 CPS, VL=1
