[21-11-2018 17:05:51] Itzpandapvpmc reached 21 CPS, VL=1
[21-11-2018 17:05:51] Daniel_Rohde reached 21 CPS, VL=1
[21-11-2018 17:05:53] nunnilukas reached 24 CPS, VL=1
[21-11-2018 17:05:57] nunnilukas reached 19 CPS, VL=1
[21-11-2018 17:06:29] nunnilukas reached 20 CPS, VL=1
[21-11-2018 17:06:31] nunnilukas reached 18 CPS, VL=1
[21-11-2018 17:06:35] nunnilukas reached 18 CPS, VL=1
[21-11-2018 17:06:36] nunnilukas reached 19 CPS, VL=2
[21-11-2018 17:06:38] nunnilukas reached 25 CPS, VL=1
[21-11-2018 17:06:41] nunnilukas reached 18 CPS, VL=1
[21-11-2018 17:06:42] nunnilukas reached 23 CPS, VL=2
[21-11-2018 17:06:48] nunnilukas reached 25 CPS, VL=1
[21-11-2018 17:06:56] chokokagen reached 49 CPS, VL=1
[21-11-2018 17:06:56] nunnilukas reached 94 CPS, VL=1
[21-11-2018 17:06:56] jrn123 reached 41 CPS, VL=1
[21-11-2018 17:06:56] tobias4320 reached 36 CPS, VL=1
[21-11-2018 17:06:56] Shark6378 reached 40 CPS, VL=1
[21-11-2018 17:06:56] Karliso1 reached 50 CPS, VL=1
[21-11-2018 17:07:13] tobias4320 reached 18 CPS, VL=1
[21-11-2018 17:07:14] tobias4320 reached 22 CPS, VL=2
[21-11-2018 17:07:28] chokokagen reached 18 CPS, VL=1
[21-11-2018 17:07:28] Slangendks_Slave reached 18 CPS, VL=1
[21-11-2018 17:07:28] andreasplays45 reached 20 CPS, VL=1
[21-11-2018 17:07:28] Itzpandapvpmc reached 24 CPS, VL=1
[21-11-2018 17:07:28] Daniel_Rohde reached 21 CPS, VL=1
[21-11-2018 17:07:28] sorendam1 reached 26 CPS, VL=1
[21-11-2018 17:08:01] Itzpandapvpmc reached 24 CPS, VL=1
[21-11-2018 17:08:01] Shark6378 reached 21 CPS, VL=1
[21-11-2018 17:12:08] PiiinguinFelix reached 35 CPS, VL=1
[21-11-2018 17:12:08] PatrickKopp reached 25 CPS, VL=1
[21-11-2018 17:12:08] Shark6378 reached 43 CPS, VL=1
[21-11-2018 17:12:08] fletch4042 reached 24 CPS, VL=1
[21-11-2018 17:12:08] daniel1639 reached 35 CPS, VL=1
[21-11-2018 17:17:12] daniel1639 reached 46 CPS, VL=1
[21-11-2018 17:22:17] J04K_ reached 25 CPS, VL=1
[21-11-2018 17:22:17] thegamer_boy reached 29 CPS, VL=1
[21-11-2018 17:22:17] Itzpandapvpmc reached 26 CPS, VL=1
[21-11-2018 17:22:17] fletch4042 reached 27 CPS, VL=1
[21-11-2018 17:24:59] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 17:25:03] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 17:27:28] sorendam1 reached 18 CPS, VL=1
[21-11-2018 17:27:36] 2bi2bi reached 19 CPS, VL=1
[21-11-2018 17:28:29] sorendam1 reached 22 CPS, VL=1
[21-11-2018 17:29:56] Habubi reached 18 CPS, VL=1
[21-11-2018 17:29:56] Itzpandapvpmc reached 26 CPS, VL=1
[21-11-2018 17:30:29] Lqsse_ reached 20 CPS, VL=1
[21-11-2018 17:30:29] 2bi2bi reached 34 CPS, VL=1
[21-11-2018 17:30:29] DoDoTheGud reached 20 CPS, VL=1
[21-11-2018 17:31:01] spillekongen20 reached 18 CPS, VL=1
[21-11-2018 17:31:33] 2bi2bi reached 23 CPS, VL=1
[21-11-2018 17:31:33] Itzpandapvpmc reached 21 CPS, VL=1
[21-11-2018 17:31:33] fletch4042 reached 28 CPS, VL=1
[21-11-2018 17:32:06] Habubi reached 18 CPS, VL=1
[21-11-2018 17:32:39] fletch4042 reached 20 CPS, VL=1
[21-11-2018 17:33:11] Itzpandapvpmc reached 19 CPS, VL=1
[21-11-2018 17:33:43] Itzpandapvpmc reached 21 CPS, VL=1
[21-11-2018 17:36:20] Itzpandapvpmc reached 30 CPS, VL=1
[21-11-2018 17:37:23] Olimic reached 26 CPS, VL=1
[21-11-2018 17:37:56] Itzpandapvpmc reached 38 CPS, VL=1
[21-11-2018 17:40:05] Itzpandapvpmc reached 51 CPS, VL=1
[21-11-2018 17:41:08] Itzpandapvpmc reached 22 CPS, VL=1
[21-11-2018 17:41:40] Itzpandapvpmc reached 25 CPS, VL=1
[21-11-2018 17:42:43] Itzpandapvpmc reached 23 CPS, VL=1
[21-11-2018 17:43:17] DemonManDK reached 24 CPS, VL=1
[21-11-2018 17:43:17] Itzpandapvpmc reached 28 CPS, VL=1
[21-11-2018 17:43:17] iiNilo reached 29 CPS, VL=1
[21-11-2018 17:44:22] thegamer_boy reached 18 CPS, VL=1
[21-11-2018 17:44:22] Itzpandapvpmc reached 40 CPS, VL=1
[21-11-2018 17:45:25] Itzpandapvpmc reached 23 CPS, VL=1
[21-11-2018 17:46:27] Mavsi reached 26 CPS, VL=1
[21-11-2018 17:46:58] Itzpandapvpmc reached 20 CPS, VL=1
[21-11-2018 17:48:01] Itzpandapvpmc reached 30 CPS, VL=1
[21-11-2018 17:48:34] Itzpandapvpmc reached 37 CPS, VL=1
[21-11-2018 17:48:34] Rasmus6823N reached 24 CPS, VL=1
[21-11-2018 17:49:06] Philip_Pandurum reached 21 CPS, VL=1
[21-11-2018 17:49:40] Itzpandapvpmc reached 38 CPS, VL=1
[21-11-2018 17:49:40] iiNilo reached 20 CPS, VL=1
[21-11-2018 17:49:40] DoDoTheGud reached 28 CPS, VL=1
[21-11-2018 17:51:16] Itzpandapvpmc reached 21 CPS, VL=1
